benchmark,scenario,metric,baseline,optimized,improvement_percent
single_client_search,aggregation_query_optimization,average_latency_ms,2.831118,1.405846,50.343
single_client_search,aggregation_query_optimization,p95_latency_ms,4.034166,2.247125,44.298
single_client_search,aggregation_query_optimization,throughput_per_second,350.498511,707.479726,101.85
single_client_search,contain_database_systems_phrase,average_latency_ms,2.530479,1.797599,28.962
single_client_search,contain_database_systems_phrase,p95_latency_ms,3.802375,3.014417,20.723
single_client_search,contain_database_systems_phrase,throughput_per_second,390.689647,549.513452,40.652
single_client_search,contain_indexing_not_blockchain,average_latency_ms,2.721399,1.280443,52.949
single_client_search,contain_indexing_not_blockchain,p95_latency_ms,3.648916,1.857625,49.091
single_client_search,contain_indexing_not_blockchain,throughput_per_second,364.520416,771.978875,111.779
single_client_search,contain_processing_phrases_any,average_latency_ms,3.033282,1.874711,38.195
single_client_search,contain_processing_phrases_any,p95_latency_ms,4.430291,2.869,35.241
single_client_search,contain_processing_phrases_any,throughput_per_second,326.90006,527.578822,61.388
single_client_search,fuzzy_databse_optimiztion,average_latency_ms,6.587576,5.074697,22.966
single_client_search,fuzzy_databse_optimiztion,p95_latency_ms,7.750458,6.640166,14.326
single_client_search,fuzzy_databse_optimiztion,throughput_per_second,151.33824,196.436908,29.8
single_client_search,fuzzy_transacton_procesing,average_latency_ms,6.2776,5.130282,18.276
single_client_search,fuzzy_transacton_procesing,p95_latency_ms,8.071958,6.498541,19.492
single_client_search,fuzzy_transacton_procesing,throughput_per_second,158.463119,193.912338,22.371
single_client_search,keyword_distributed_database,average_latency_ms,2.699283,1.626628,39.739
single_client_search,keyword_distributed_database,p95_latency_ms,3.438167,2.59275,24.589
single_client_search,keyword_distributed_database,throughput_per_second,366.956206,610.637303,66.406
single_client_search,keyword_learned_indexes_cs_db,average_latency_ms,2.46806,1.57265,36.28
single_client_search,keyword_learned_indexes_cs_db,p95_latency_ms,3.524625,2.419417,31.357
single_client_search,keyword_learned_indexes_cs_db,throughput_per_second,403.010266,631.729125,56.753
single_client_search,keyword_query_optimization,average_latency_ms,2.932551,1.658296,43.452
single_client_search,keyword_query_optimization,p95_latency_ms,3.743334,2.606875,30.36
single_client_search,keyword_query_optimization,throughput_per_second,337.442791,596.353798,76.727
load_test,contain_clients_1,average_latency_ms,1.139851,1.018102,10.681
load_test,contain_clients_1,p95_latency_ms,1.531667,1.405666,8.226
load_test,contain_clients_1,throughput_per_second,868.624488,974.688499,12.211
load_test,contain_clients_10,average_latency_ms,3.728468,3.602931,3.367
load_test,contain_clients_10,p95_latency_ms,5.5375,5.190042,6.275
load_test,contain_clients_10,throughput_per_second,2677.958217,2771.146763,3.48
load_test,contain_clients_5,average_latency_ms,1.582759,1.533945,3.084
load_test,contain_clients_5,p95_latency_ms,2.811834,2.767542,1.575
load_test,contain_clients_5,throughput_per_second,3149.935661,3250.1571,3.182
load_test,fuzzy_clients_1,average_latency_ms,4.550024,4.378334,3.773
load_test,fuzzy_clients_1,p95_latency_ms,5.085417,4.886542,3.911
load_test,fuzzy_clients_1,throughput_per_second,218.694088,227.240494,3.908
load_test,fuzzy_clients_10,average_latency_ms,20.795131,20.070051,3.487
load_test,fuzzy_clients_10,p95_latency_ms,63.7205,62.747542,1.527
load_test,fuzzy_clients_10,throughput_per_second,480.574069,497.900715,3.605
load_test,fuzzy_clients_5,average_latency_ms,10.010352,9.706924,3.031
load_test,fuzzy_clients_5,p95_latency_ms,45.67675,44.921083,1.654
load_test,fuzzy_clients_5,throughput_per_second,498.822307,514.38271,3.119
load_test,hybrid_clients_10,average_latency_ms,27.295161,25.960644,4.889
load_test,hybrid_clients_10,p95_latency_ms,64.887709,62.100042,4.296
load_test,hybrid_clients_10,throughput_per_second,366.193628,385.027059,5.143
load_test,keyword_clients_1,average_latency_ms,1.186055,0.93489,21.177
load_test,keyword_clients_1,p95_latency_ms,1.55775,1.164875,25.221
load_test,keyword_clients_1,throughput_per_second,835.727455,1058.716649,26.682
load_test,keyword_clients_10,average_latency_ms,4.452465,3.246599,27.083
load_test,keyword_clients_10,p95_latency_ms,6.399,4.687042,26.754
load_test,keyword_clients_10,throughput_per_second,2243.045457,3074.963542,37.089
load_test,keyword_clients_5,average_latency_ms,1.915133,1.364335,28.76
load_test,keyword_clients_5,p95_latency_ms,3.077958,2.515625,18.27
load_test,keyword_clients_5,throughput_per_second,2603.738723,3653.394208,40.313
hybrid,databse_optimiztion:contain,average_latency_ms,1.210297,0.900628,25.586
hybrid,databse_optimiztion:contain,p95_latency_ms,2.579125,1.780167,30.978
hybrid,databse_optimiztion:contain,user_facing_throughput_per_second,818.433858,1097.137845,34.053
hybrid,databse_optimiztion:fuzzy,average_latency_ms,7.254671,6.371421,12.175
